Species	Status
Hipparion_licenti	extinct
Hipparion_macrodon	extinct
Hipparion_malustense	extinct
Hipparion_microtaton	extinct
Hipparion_molayanense	extinct
Hipparion_mongolicum	extinct
Hipparion_parvum	extinct
Hipparion_pater	extinct
Hipparion_phlegrae	extinct
Hipparion_platigenis	extinct
Hipparion_platyodus	extinct
Hipparion_plocodus	extinct
Hipparion_praesulcatum	extinct
Hipparion_prostylum	extinct
Hipparion_ptychodus	extinct
Hipparion_sarmaticum	extinct
Hipparion_sebastopolitanum	extinct
Hipparion_sefvei	extinct
Hipparion_shirleyae	extinct
Hipparion_sitifense	extinct
Hipparion_tchicoicum	extinct
Hipparion_tehonense	extinct
Hipparion_teilhardi	extinct
Hipparion_tudorovense	extinct
Hipparion_uzunagizli	extinct
Hipparion_verae	extinct
Hipparion_xizangesis	extinct
Hipparion_zandaense	extinct
Hippotherium_brachypus	extinct
Hippotherium_catalaunicum	extinct
Hippotherium_depereti	extinct
Hippotherium_giganteum	extinct
Hippotherium_intrans	extinct
Hippotherium_koenigswaldi	extinct
Hippotherium_microdon	extinct
Hippotherium_praegiganteum	extinct
Hippotherium_primigenium	extinct
Hippotherium_sebastopolitanum	extinct
Hippotherium_sumegense	extinct
Hispanotherium_beonense	extinct
Hispanotherium_corcolense	extinct
Hispanotherium_grimmi	extinct
Hispanotherium_matritense	extinct
Hispanotherium_tungurense	extinct
Homogalax_aureus	extinct
Homogalax_protapirinus	extinct
Hoploaceratherium_belvederense	extinct
Hoploaceratherium_depereti	extinct
Hoploaceratherium_gobiense	extinct
Hoploaceratherium_tetradactylum	extinct
Hsanotherium_parvum	extinct
Huanghotherium_anlungensis	extinct
Hypohippus_affinis	extinct
Hypohippus_chico	extinct
Hypohippus_equinus	extinct
Hypohippus_giganteus	extinct
Hypohippus_nevadensis	extinct
Hypohippus_osborni	extinct
Hyrachyus_asiaticus	extinct
Hyrachyus_eximius	extinct
Hyrachyus_minimus	extinct
Hyrachyus_modestus	extinct
Hyrachyus_stehlini	extinct
Hyracodon_leidyanus	extinct
Hyracodon_nebraskensis	extinct
Hyracodon_petersoni	extinct
Hyracodon_primus	extinct
Hyracodon_priscidens	extinct
Hyracotherium_angustidens	extinct
Hyracotherium_seekinsi	extinct
Hyracotherium_vasacciense	extinct
Hyracotherium_vulpiceps	extinct
Indobune_vastanensis	extinct
Indricotherium_transouralicum	extinct
Iranotherium_morgani	extinct
Isectolophus_annectens	extinct
Isectolophus_latidens	extinct
Isectolophus_radinskyi	extinct
Itanzatherium_angustirostre	extinct
Jhagirilophus_chorgalensis	extinct
Juxia_sharamurense	extinct
Kalakotia_simplicidentata	extinct
Kalimantsia_bulgarica	extinct
Kalitherium_marinus	extinct
Kalobatippus_agatensis	extinct
Kalobatippus_australis	extinct
Kalobatippus_avus	extinct
Kalobatippus_praestans	extinct
Karagalax_mamikhelensis	extinct
Kenyatherium_bishopi	extinct
Lambdotherium_popoagicum	extinct
Lartetotherium_cixianensis	extinct
Lartetotherium_sansaniense	extinct
Leptolophus_magnus	extinct
Leptolophus_stehlini	extinct
Lophiaspis_maurettei	extinct
Lophiodon_baroensis	extinct
Lophiodon_corsaensis	extinct
Lophiodon_cuvieri	extinct
Lophiodon_lautricense	extinct
Lophiodon_leptorhynchum	extinct
Lophiodon_remensis	extinct
Lophiodon_rhinocerodes	extinct
Lophiodon_sardus	extinct
Lophiodon_tapiroides	extinct
Lophiodon_tapirotherium	extinct
Lophiotherium_cervulum	extinct
Lophiotherium_pygmaeum	extinct
Lophiotherium_siderolithicum	extinct
Macrotherium_yuanmouensis	extinct
Megacerops_coloradensis	extinct
Megacerops_kuwagatarhinus	extinct
Megahippus_matthewi	extinct
Megahippus_mckennai	extinct
Megalamynodon_regalis	extinct
Menoceras_arikarense	extinct
Menoceras_barbouri	extinct
Merychippus_brevidontus	extinct
Merychippus_calamarius	extinct
Merychippus_californicus	extinct
Merychippus_coloradense	extinct
Merychippus_gunteri	extinct
Merychippus_insignis	extinct
Merychippus_primus	extinct
Merychippus_relictus	extinct
Merychippus_republicanus	extinct
Merychippus_sejunctus	extinct
Merychippus_seversus	extinct
Merychippus_sphenodus	extinct
Mesaceratherium_gaimersheimense	extinct
Mesaceratherium_paulhiacense	extinct
Mesaceratherium_simorrense	extinct
Mesatirhinus_junius	extinct
Meschotherium_meschethicum	extinct
Mesohippus_bairdii	extinct
Mesohippus_barbouri	extinct
Mesohippus_celer	extinct
Mesohippus_exoletus	extinct
Mesohippus_latidens	extinct
Mesohippus_propinquus	extinct
Mesohippus_stenlophus	extinct
Mesohippus_texanus	extinct
Mesohippus_westoni	extinct
Metamynodon_chadronensis	extinct
Metamynodon_mckennyi	extinct
Metamynodon_planifrons	extinct
Metaplagiolophus_atoae	extinct
Metarhinus_abboti	extinct
Metarhinus_fluviatilis	extinct
