Species	Status
Dinofelis_petteri	extinct
Dinofelis_piveteaui	extinct
Dinogale_siouxensis	extinct
Djourabus_dabba	extinct
Ectopocynus_antiquus	extinct
Ectopocynus_intermedius	extinct
Ectopocynus_simplicidens	extinct
Edaphocyon_lautus	extinct
Edaphocyon_pointblankensis	extinct
Eirictis_robusta	extinct
Ekorus_ekakoran	extinct
Enhydrictis_ardea	extinct
Enhydrictis_galictoides	extinct
Enhydriodon_dikikae	extinct
Enhydriodon_ekecaman	extinct
Enhydriodon_latipes	extinct
Enhydrocyon_basilatus	extinct
Enhydrocyon_crassidens	extinct
Enhydrocyon_pahinisintewakpa	extinct
Enhydrocyon_stenocephalus	extinct
Eofelis_edwarsii	extinct
Eomellivora_moralesi	extinct
Eomellivora_piveteaui	extinct
Eomellivora_tugenensis	extinct
Eomellivora_wimani	extinct
Epicyon_aelurodontoides	extinct
Epicyon_haydeni	extinct
Epicyon_inflatus	extinct
Epicyon_saevus	extinct
Erokomellivora_lothagamensis	extinct
Euboictis_aliverensis	extinct
Eucyon_adoxus	extinct
Eucyon_cipio	extinct
Eucyon_davisi	extinct
Eucyon_debonisi	extinct
Eucyon_intrepidus	extinct
Eucyon_kuruksaensis	extinct
Eucyon_marinae	extinct
Eucyon_michauxi	extinct
Eucyon_minor	extinct
Eucyon_monticinensis	extinct
Eucyon_odessanus	extinct
Eucyon_skinneri	extinct
Eucyon_zhoui	extinct
Euoplocyon_praedator	extinct
Euoplocyon_spissidens	extinct
Eusmilus_belli	extinct
Eusmilus_bidentatus	extinct
Eusmilus_cerebralis	extinct
Eusmilus_olsontau	extinct
Felis_antediluviana	extinct
Felis_attica	extinct
Felis_christoli	extinct
Felis_lunensis	extinct
Felis_lybica	extinct
Felis_maniculata	extinct
Felis_nigripes	extant
Felis_silvestris	extant
Felis_teilhardi	extinct
Felis_wenzensis	extinct
Ferinestrix_vorax	extinct
Fortunictis_acerensis	extinct
Gaillardina_transitoria	extinct
Galerella_sanguinea	extant
Genetta_genetta	extant
Ginsburgsmilus_napakensis	extinct
Gobicyon_macrognathus	extinct
Gobicyon_zhegalloi	extinct
Goupilictis_minor	extinct
Grivamephitis_meini	extinct
Grivamephitis_pusilla	extinct
Gulo_gulo	extant
Gulo_schlosseri	extinct
Hadrictis_fricki	extinct
Haplocyon_crucians	extinct
Haplocyon_elegans	extinct
Haplocyonoides_mordax	extinct
Haplocyonoides_ponticus	extinct
