Species	Status
Phenacodus_bisonensis	extinct
Phenacodus_grangeri	extinct
Phenacodus_intermedius	extinct
Phenacodus_magnus	extinct
Phenacodus_matthewi	extinct
Phenacodus_primaevus	extinct
Phenacodus_teilhardi	extinct
Phenacodus_trilobatus	extinct
Phenacodus_villaltae	extinct
Phenacodus_vortmani	extinct
Pinoryctes_collector	extinct
Platymastus_palantir	extinct
Pleuraspidotherium_aumonieri	extinct
Princetonia_yalensis	extinct
Procerberus_formicarum	extinct
Procerberus_plutonis	extinct
Prochetodon_cavus	extinct
Prochetodon_foxi	extinct
Prochetodon_speirsae	extinct
Prochetodon_taxus	extinct
Prodiacodon_concordiarcensis	extinct
Prodiacodon_crustulum	extinct
Prodiacodon_furor	extinct
Prodiacodon_puercensis	extinct
Prodiacodon_tauricinerei	extinct
Prodinoceras_harrisorum	extinct
Prodinoceras_lysitensis	extinct
Prodinoceras_newbilli	extinct
Prodinoceras_praecursor	extinct
Promioclaenus_acolytus	extinct
Promioclaenus_lemuroides	extinct
Promioclaenus_pipiringosi	extinct
Promioclaenus_sheperdi	extinct
Promioclaenus_wilsoni	extinct
Protentomodon_ursirivalis	extinct
Prothryptacodon_albertensis	extinct
Prothryptacodon_ambiguus	extinct
Prothryptacodon_furens	extinct
Prothryptacodon_hilli	extinct
Protoselene_bombadili	extinct
Protoselene_griphus	extinct
Protoselene_novissimus	extinct
Protoselene_opisthacus	extinct
Pseudorhynchocyon_cayluxi	extinct
Psittacotherium_multifragum	extinct
Ptilodus_fractus	extinct
Ptilodus_gnomus	extinct
Ptilodus_kummae	extinct
Ptilodus_mediaevus	extinct
Ptilodus_montanus	extinct
Ptilodus_tsosiensis	extinct
Ptilodus_wyomingensis	extinct
Pugiodens_mirus	extinct
Quettacyon_parachai	extinct
Ragnarok_engdahli	extinct
Ragnarok_harbichti	extinct
Ragnarok_nordicum	extinct
Ragnarok_wovokae	extinct
Schochia_sullivani	extinct
Simidectes_magnus	extinct
Simidectes_medius	extinct
Sinclairella_dakotensis	extinct
Sororocyon_usmanii	extinct
Spaniella_carezi	extinct
Stelocyon_arctylos	extinct
Stilpnodon_simplicidens	extinct
Stygimys_camptorhiza	extinct
Stygimys_jepseni	extinct
Stygimys_kuszmauli	extinct
Stygimys_teilhardi	extinct
Stygimys_vastus	extinct
Stylinodon_inexplicatus	extinct
Stylinodon_mirus	extinct
Suratilestes_gingerichi	extinct
Synoplotherium_canius	extinct
Synoplotherium_vorax	extinct
Taeniolabis_lamberti	extinct
Taeniolabis_taoensis	extinct
Tetheopsis_ingens	extinct
Tetheopsis_speirianus	extinct
Tetraclaenodon_puercensis	extinct
Tetraclaenodon_septentrionalis	extinct
Thelysia_artemia	extinct
Thryptacodon_antiquus	extinct
Thryptacodon_australis	extinct
Thryptacodon_barae	extinct
Thryptacodon_demari	extinct
Thryptacodon_orthogonius	extinct
Thulitheripus_svalbardii	extinct
Tillodon_fodiens	extinct
Tinuviel_eurydice	extinct
Titanoides_gidleyi	extinct
Titanoides_majus	extinct
Titanoides_primaevus	extinct
Titanoides_simpsoni	extinct
Titanoides_zeuxis	extinct
Tiznatzinia_vanderhoofi	extinct
Todralestes_butleri	extinct
Tricuspiodon_ruetimeyeri	extinct
Tricuspiodon_sobrinus	extinct
Triisodon_antiquus	extinct
Triisodon_quivirensis	extinct
Trogosus_castoridens	extinct
Trogosus_grangeri	extinct
Trogosus_latidens	extinct
Trogosus_minor	extinct
Trogosus_vetulus	extinct
Tsaganius_ambiguus	extinct
Uintatherium_anceps	extinct
Unuchinia_asaphes	extinct
Unuchinia_diaphanes	extinct
Unuchinia_dysmathes	extinct
Utemylus_latomius	extinct
Vulpavoides_germanica	extinct
Wortmania_otariidens	extinct
Wyolestes_apheles	extinct
Wyolestes_iglesius	extinct
Xanclomys_mcgrewi	extinct
Xenacodon_mutilatus	extinct
Xyronomys_robinsoni	extinct
Xyronomys_swainae	extinct
Zhigdenia_nemegetica	extinct
